"","country","power_index","active_personnel","aircraft_carriers","armored_vehicles","attack_helicopters","available_manpower","coastline_coverage","corvettes","dedicated_attack","defense_budget","destroyers","external_debt","fighters_interceptors","fit_for_service","foreign_exchange_gold","frigates","helicopter_carriers","helicopters","labor_force","merchant_marine_fleet","mine_warfare","navy_ships","oil_consumption","oil_production","oil_proven_reserves","paramilitary","patrol_vessels","ports___trade_terminals","purchasing_power_parity","railway_coverage","reaching_mil_age_annually","reserve_personnel","roadway_coverage","rocket_projectors","self_propelled_artillery","shared_borders","special_mission","square_land_area","submarines","tanker_fleet","tanks","total_aircraft_strength","total_population","towed_artillery","trainers","transports","waterways__usable_"
"89","Nigeria",0.5745,135000,0,2019,15,116315847,853,0,22,5875755689,0,2.6847e+10,140,83835195,3.877e+10,1,0,52,60080000,791,2,133,325000,2000000,3.745e+10,80000,109,4,1.01353e+12,3798,3950350,0,195000,47,44,4477,6,923768,0,0,376,140,219463862,349,26,20,8600
"90","North Korea",0.4621,1200000,0,4114,20,9299290,2495,0,114,4.5e+09,0,5e+09,946,5217935,5e+09,5,0,204,14000000,264,10,450,18000,0,0,200000,200,7,3.85e+10,7435,413302,600000,25554,1360,450,1607,0,120538,35,0,5895,946,25831360,250,169,1,2250
"91","North Macedonia",5.7275,7500,0,228,4,944948,0,0,0,192639000,0,9.065e+09,20,781072,2.802e+09,0,0,10,793000,0,0,0,21000,0,0,4000,0,0,3.3e+10,925,27667,3000,14182,11,0,838,0,25713,0,0,10,20,2128262,36,10,0,280
"92","Norway",0.5455,23000,0,700,0,2203836,25148,6,21,8.3e+09,0,6.5104e+11,161,1807146,6.592e+10,4,0,49,2699000,1644,6,48,205300,1515000,6.376e+09,40000,17,11,3.4206e+11,4200,71625,0,94902,12,80,2566,8,323802,6,0,36,161,5509591,0,35,4,1577
"93","Oman",1.4453,40000,0,932,0,1404007,2092,5,10,8396300000,0,4.627e+10,128,1222964,1.609e+10,0,0,31,2255000,57,0,22,188000,980000,5.373e+09,6000,12,5,1.35e+11,0,48032,0,60230,12,0,1561,4,309500,0,0,117,128,3694755,183,45,9,0
"94","Pakistan",0.1572,640000,0,9950,57,102417845,1046,2,90,7690148664,2,1.07527e+11,1387,80981552,1.846e+10,6,0,307,61710000,57,3,114,557000,90000,332200000,500000,48,2,1.02113e+12,11881,4525440,500000,263775,560,689,7257,24,796095,9,4,2824,1387,238181034,1208,551,54,25220
"95","Panama",5.0255,0,0,50,0,1767891,2490,0,0,741160000,0,1.01393e+11,39,1060734,2.703e+09,0,0,22,1633000,7980,0,20,146000,0,0,27000,0,3,1.09e+11,77,47144,0,11978,0,0,687,1,75420,0,0,0,39,3928646,0,4,12,800
"96","Paraguay",2.6873,14000,0,75,0,3418140,0,0,0,3.53e+08,0,1.6622e+10,41,2901783,7.877e+09,0,0,15,3428000,110,0,40,43000,0,0,10000,16,4,8.5e+10,30,145453,50000,74676,0,6,4655,0,406752,0,0,8,41,7272639,50,15,9,3100
"97","Peru",0.7453,95000,0,552,16,15456588,2414,7,22,1.83e+09,0,8.1333e+10,243,12526276,6.383e+10,7,0,89,3421000,98,0,63,250000,50000,434900000,50000,7,8,4e+11,1854,611823,100000,140672,90,24,7062,9,1285216,6,0,146,243,32201224,231,66,39,8808
"98","Philippines",0.8076,130000,0,600,2,47651880,36289,1,25,4.39e+09,0,8.1995e+10,182,39118869,8.157e+10,2,0,103,41533000,1805,0,93,424000,13000,138500000,50000,50,5,8.7156e+11,77,1994730,100000,216387,0,12,0,9,300000,0,0,18,182,110818325,286,24,21,3219
"99","Poland",0.4179,120000,0,4786,30,18711097,440,2,0,1.45e+10,0,3.5177e+11,452,15350737,1.133e+11,2,0,207,9561000,143,21,86,649600,21000,1.26e+08,32500,3,4,1.2e+12,19231,458231,0,420000,197,609,2845,9,312685,1,0,863,452,38185913,0,96,49,3997
"100","Portugal",0.7282,30500,0,725,0,5172401,1793,2,0,3.36e+09,0,4.41485e+11,97,3982749,2.905e+10,5,0,22,4828100,726,0,107,236000,12932,0,25000,20,7,3.3164e+11,3075,124138,100000,82900,0,24,1224,10,92090,2,0,37,97,10344802,45,26,15,210
"101","Qatar",1.4429,14000,0,3100,24,619999,563,4,6,5.856e+09,0,1.678e+11,165,476159,1.501e+10,0,0,66,1953000,129,0,86,277000,1465000,2.524e+10,5000,20,3,2.4566e+11,0,12400,0,7039,47,46,87,0,11586,0,0,134,165,2479995,12,41,12,0
"102","Republic of the Congo",3.1759,12000,0,181,1,2004443,169,0,0,348160000,0,4.605e+09,13,1202666,505700000,0,0,8,2055000,11,0,6,17000,340000,1.6e+09,2000,0,6,2e+10,510,102931,0,23324,30,3,5008,0,342000,0,0,53,13,5417414,23,0,3,1120
"103","Romania",0.5938,67000,0,1392,0,11039788,225,7,0,5148090000,0,1.17829e+11,147,9044134,4.443e+10,3,0,62,4889000,121,5,45,198000,70000,6e+08,15000,3,6,5.5607e+11,11268,233534,50000,84185,207,0,2844,2,238391,0,0,451,147,21230362,808,42,11,1731
"104","Russia",0.0501,850000,1,30122,544,69737187,37653,86,739,1.54e+11,15,4.79844e+11,4173,46681219,4.327e+11,11,0,1543,69923000,2873,49,605,3650000,10760000,8e+10,250000,59,8,3.87569e+12,87157,1280887,250000,1283387,3391,6574,22408,132,17098242,70,20,12420,4173,142320790,7571,522,445,102000
"105","Saudi Arabia",0.2966,225000,0,6202,34,18087554,2640,4,81,4.6e+10,0,2.051e+11,897,16626636,4.964e+11,7,0,258,13800000,392,3,57,3287000,10425000,2.662e+11,125000,39,5,1.54324e+12,5410,591324,0,221372,275,705,4272,14,2149690,0,22,1062,897,34783757,1818,190,49,0
